忠犬八公物语, 神山征二郎 Seijirô Kôyama, 仲代达矢 Tatsuya Nakadai /...,1987,9.2,203716人评价
荒蛮故事, 达米安·斯兹弗隆 Damián Szifron, 达里奥·葛兰帝内提 Darío...,2014,8.8,460878人评价
冰川时代, 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge, 迈尔斯·特勒 Miles Teller /...,2014,8.7,615396人评价
恐怖游轮, 克里斯托弗·史密斯 Christopher Smith, 梅利莎·乔治 Melissa ...,2009,8.5,906866人评价
牯岭街少年杀人事件, 杨德昌 Edward Yang, 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,8.9,322630人评价
东京教父, 今敏 Satoshi Kon, 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003,9.0,250249人评价
魔女宅急便, 宫崎骏 Hayao Miyazaki, 高山南 Minami Takayama / 佐久间玲 Re...,1989,8.7,481916人评价
大佛普拉斯, 黄信尧 Hsin-yao Huang, 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017,8.7,494974人评价
贫民窟的百万富翁, 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan, 戴夫...,2008,8.6,767711人评价
遗愿清单, 罗伯·莱纳 Rob Reiner, 杰克·尼科尔森 Jack Nicholson / 摩根...,2007,8.7,487369人评价
东邪西毒, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,8.6,596529人评价
你看起来好像很好吃, 藤森雅也 Masaya Fujimori, 山口胜平 Kappei Yamaguchi / 爱河...,2010,8.9,346780人评价
可可西里, 陆川 Chuan Lu, 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,8.9,316467人评价
末路狂花, 雷德利·斯科特 Ridley Scott, 吉娜·戴维斯 Geena Davis / 苏...,1991,8.9,283342人评价
城市之光, Charles Chaplin, 查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931,9.3,155405人评价
源代码, 邓肯·琼斯 Duncan Jones, 杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,8.5,864953人评价
黑天鹅, 达伦·阿罗诺夫斯基 Darren Aronofsky, 娜塔莉·波特曼 Natalie...,2010,8.6,803228人评价
海边的曼彻斯特, 肯尼斯·罗纳根 Kenneth Lonergan, 卡西·阿弗莱克 Casey Affle...,2016,8.6,580730人评价
真爱至上, 理查德·柯蒂斯 Richard Curtis, 休·格兰特 Hugh Grant / 连姆...,2003,8.5,761140人评价
波西米亚狂想曲, 布莱恩·辛格 Bryan Singer, 拉米·马雷克 Rami Malek / 本·哈...,2018,8.6,634032人评价
雨人, 巴瑞·莱文森 Barry Levinson, 达斯汀·霍夫曼 Dustin Hoffman ...,1988,8.7,417361人评价
青蛇, 徐克 Hark Tsui, 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,8.6,548455人评价
初恋这件小事," 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010", 瑞恩·高斯林 Ryan Gosling /...,2016,8.4,989889人评价
人工智能, 史蒂文·斯皮尔伯格 Steven Spielberg, 海利·乔·奥斯蒙 Haley...,2001,8.7,464637人评价
疯狂的麦克斯4：狂暴之路, 乔治·米勒 George Miller, 汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,8.7,553803人评价
终结者2：审判日, 詹姆斯·卡梅隆 James Cameron, 阿诺·施瓦辛格 Arnold Schwarz...,1991,8.8,355220人评价
恋恋笔记本, 尼克·卡索维茨 Nick Cassavetes, 瑞恩·高斯林 Ryan Gosling /...,2004,8.5,699244人评价
